view_id,user_id,content_title,dialect,watch_duration_sec,device_type,timestamp,region
33,492,Bol Radha Bol,Rajasthani,532,Mobile,2026-01-15 14:27:43.235032,Haryana
34,153,Padharo Mhare Des,Bhojpuri,2354,Mobile,2026-01-21 11:45:03.842345,Rajasthan
35,220,Nirahua Hindustani,Bhojpuri,817,SmartTV,2026-01-19 06:47:45.039853,Bihar
36,281,Bol Radha Bol,Rajasthani,1325,Web,2026-01-18 17:00:01.781132,Rajasthan
37,99,Padharo Mhare Des,Bhojpuri,721,Web,2026-01-19 19:06:47.144691,Rajasthan
38,418,Nirahua Hindustani,Bhojpuri,2476,Mobile,2026-01-18 06:30:48.778837,Haryana
39,50,Kesariya Balam,Rajasthani,1856,Mobile,2026-01-21 01:58:37.531259,UP
40,299,Nirahua Hindustani,Rajasthani,1718,SmartTV,2026-01-10 00:59:27.156800,UP
41,72,Nirahua Hindustani,Bhojpuri,1288,SmartTV,2026-01-21 18:28:45.077955,Delhi
42,192,Ghatak,Rajasthani,517,SmartTV,2026-01-08 22:32:16.526981,UP
43,248,Padharo Mhare Des,Rajasthani,1783,Mobile,2026-01-11 01:02:43.050222,Rajasthan
44,26,Nirahua Hindustani,Rajasthani,1758,SmartTV,2026-01-14 00:00:50.089481,UP
45,472,Padharo Mhare Des,Rajasthani,3425,Web,2026-01-21 09:01:13.112468,Delhi
46,77,Desi Londe,Bhojpuri,1781,SmartTV,2026-01-19 18:31:48.654838,Delhi
47,414,Padharo Mhare Des,Bhojpuri,2847,SmartTV,2026-01-08 09:08:20.849926,UP
48,451,Bol Radha Bol,Rajasthani,1890,Mobile,2026-01-08 21:46:37.738291,Delhi
49,338,Ghatak,Bhojpuri,1329,SmartTV,2026-01-14 12:27:44.963727,Bihar
50,419,Ghatak,Haryanvi,2241,Web,2026-01-19 01:00:04.952482,UP
51,91,Kesariya Balam,Haryanvi,1369,SmartTV,2026-01-09 21:07:04.449108,Delhi
52,499,Desi Londe,Haryanvi,1462,SmartTV,2026-01-13 23:24:00.778663,UP
53,187,Ghatak,Rajasthani,2993,SmartTV,2026-01-19 22:47:44.494392,Rajasthan
54,194,Ghatak,Rajasthani,389,SmartTV,2026-01-21 12:11:36.519520,Delhi
55,309,Kesariya Balam,Bhojpuri,1231,Mobile,2026-01-11 09:04:33.593747,Delhi
56,384,Bol Radha Bol,Bhojpuri,1286,Web,2026-01-09 05:54:31.279893,Delhi
57,393,Nirahua Hindustani,Rajasthani,2498,Mobile,2026-01-21 14:15:28.179679,Bihar
58,347,Bol Radha Bol,Bhojpuri,3575,Web,2026-01-14 22:21:52.538254,Bihar
59,77,Bol Radha Bol,Haryanvi,1195,SmartTV,2026-01-11 14:24:25.830550,Rajasthan
60,178,Padharo Mhare Des,Bhojpuri,1548,Web,2026-01-08 13:59:28.877896,Rajasthan
61,59,Bol Radha Bol,Bhojpuri,3535,Web,2026-01-16 13:04:03.630230,Rajasthan
62,3,Bol Radha Bol,Bhojpuri,1567,Mobile,2026-01-11 02:22:43.073714,Haryana
63,401,Nirahua Hindustani,Bhojpuri,1759,Mobile,2026-01-10 07:51:01.940197,Haryana
64,174,Kesariya Balam,Haryanvi,1441,Web,2026-01-13 17:57:47.254054,UP
65,166,Desi Londe,Bhojpuri,1437,Mobile,2026-01-21 00:08:15.983589,Bihar
66,494,Desi Londe,Bhojpuri,2946,Web,2026-01-21 06:46:17.907112,Haryana
67,253,Kesariya Balam,Haryanvi,421,Mobile,2026-01-21 06:08:17.275295,Rajasthan
68,487,Ghatak,Bhojpuri,415,Mobile,2026-01-20 02:00:33.695355,Bihar
69,140,Padharo Mhare Des,Rajasthani,2987,Web,2026-01-11 07:26:28.449249,Rajasthan
70,58,Bol Radha Bol,Bhojpuri,495,SmartTV,2026-01-09 09:07:10.960043,UP
71,478,Bol Radha Bol,Bhojpuri,464,Web,2026-01-11 11:31:33.344124,Delhi
72,58,Padharo Mhare Des,Haryanvi,2949,Web,2026-01-20 22:11:54.059521,Rajasthan
73,181,Kesariya Balam,Bhojpuri,2846,SmartTV,2026-01-16 09:05:53.187654,UP
74,465,Bol Radha Bol,Haryanvi,1657,SmartTV,2026-01-18 17:26:15.953396,Haryana
75,459,Ghatak,Bhojpuri,2006,SmartTV,2026-01-09 12:48:10.899836,Bihar
76,315,Desi Londe,Rajasthani,1779,Web,2026-01-08 16:02:37.107430,Bihar
77,364,Kesariya Balam,Haryanvi,1101,Mobile,2026-01-10 12:40:38.297577,Rajasthan
78,458,Bol Radha Bol,Haryanvi,8,SmartTV,2026-01-08 18:49:22.099956,Haryana
79,405,Ghatak,Bhojpuri,2718,Web,2026-01-15 01:17:04.699136,Rajasthan
80,236,Padharo Mhare Des,Rajasthani,3206,Mobile,2026-01-16 19:49:31.006395,Rajasthan
81,206,Kesariya Balam,Rajasthani,1184,SmartTV,2026-01-08 16:48:49.096961,UP
82,137,Nirahua Hindustani,Bhojpuri,1991,Web,2026-01-14 21:13:36.598724,Delhi
83,82,Kesariya Balam,Bhojpuri,2559,SmartTV,2026-01-13 17:11:43.707592,Haryana
84,167,Bol Radha Bol,Haryanvi,2912,Web,2026-01-16 08:16:16.991875,Haryana
85,279,Desi Londe,Bhojpuri,1091,SmartTV,2026-01-16 03:05:26.998296,Bihar
86,382,Desi Londe,Bhojpuri,1944,SmartTV,2026-01-16 09:31:29.832926,Haryana
87,488,Ghatak,Rajasthani,2686,Web,2026-01-21 12:37:42.861243,Bihar
88,387,Kesariya Balam,Haryanvi,2448,SmartTV,2026-01-08 18:48:09.267039,Bihar
89,141,Kesariya Balam,Rajasthani,3171,SmartTV,2026-01-13 12:11:00.362540,Bihar
90,296,Kesariya Balam,Rajasthani,1947,Web,2026-01-09 08:03:29.406355,Bihar
91,157,Nirahua Hindustani,Haryanvi,2497,Mobile,2026-01-11 14:27:08.553204,Delhi
92,14,Ghatak,Bhojpuri,3303,Mobile,2026-01-19 14:34:51.644932,Delhi
93,32,Kesariya Balam,Bhojpuri,2852,Mobile,2026-01-08 01:28:06.765308,Bihar
94,493,Desi Londe,Bhojpuri,2314,SmartTV,2026-01-13 18:43:46.489570,Bihar
95,16,Bol Radha Bol,Haryanvi,573,Mobile,2026-01-18 09:15:28.643980,Bihar
96,288,Desi Londe,Rajasthani,2443,SmartTV,2026-01-11 19:00:51.579676,UP
97,145,Desi Londe,Rajasthani,3044,Mobile,2026-01-17 19:34:37.852017,Bihar
98,193,Ghatak,Bhojpuri,3278,Web,2026-01-10 08:33:13.917656,Haryana
99,24,Nirahua Hindustani,Haryanvi,2399,SmartTV,2026-01-15 21:52:56.741592,Rajasthan
100,160,Ghatak,Bhojpuri,1178,Mobile,2026-01-10 14:50:51.254428,Rajasthan
101,370,Desi Londe,Bhojpuri,2752,Web,2026-01-17 16:34:41.168161,UP
102,371,Padharo Mhare Des,Haryanvi,1058,Mobile,2026-01-21 01:42:31.014602,UP
103,306,Nirahua Hindustani,Rajasthani,3321,Mobile,2026-01-21 21:17:23.875990,Rajasthan
104,337,Kesariya Balam,Rajasthani,1828,Web,2026-01-10 01:16:32.053317,UP
105,159,Ghatak,Haryanvi,3102,SmartTV,2026-01-16 03:40:05.507029,Bihar
106,438,Ghatak,Rajasthani,2321,SmartTV,2026-01-16 01:21:58.221567,Delhi
107,362,Nirahua Hindustani,Haryanvi,905,Mobile,2026-01-15 14:06:32.001311,Bihar
108,235,Bol Radha Bol,Rajasthani,464,Mobile,2026-01-12 00:05:35.105993,Delhi
109,130,Nirahua Hindustani,Rajasthani,1746,SmartTV,2026-01-15 21:56:37.385385,Delhi
110,248,Padharo Mhare Des,Bhojpuri,2099,Mobile,2026-01-19 18:19:28.617153,Bihar
111,30,Nirahua Hindustani,Bhojpuri,115,Web,2026-01-20 16:53:16.851492,UP
112,492,Nirahua Hindustani,Rajasthani,521,Mobile,2026-01-09 10:53:28.070874,Haryana
113,488,Desi Londe,Rajasthani,24,SmartTV,2026-01-17 03:17:58.043563,Haryana
114,223,Padharo Mhare Des,Rajasthani,2181,SmartTV,2026-01-10 12:42:47.633003,UP
115,294,Padharo Mhare Des,Haryanvi,2503,Mobile,2026-01-13 15:30:23.419134,UP
116,154,Ghatak,Haryanvi,2882,SmartTV,2026-01-20 19:39:59.925653,UP
117,310,Kesariya Balam,Bhojpuri,1348,Web,2026-01-08 21:15:12.223873,Haryana
118,62,Padharo Mhare Des,Haryanvi,1267,SmartTV,2026-01-08 05:52:14.836416,Bihar
119,261,Ghatak,Rajasthani,3333,Mobile,2026-01-14 12:00:46.114603,UP
120,300,Bol Radha Bol,Rajasthani,195,Web,2026-01-20 02:41:48.945663,Bihar
121,392,Desi Londe,Bhojpuri,2124,SmartTV,2026-01-19 16:05:47.963457,Delhi
122,252,Padharo Mhare Des,Bhojpuri,1709,Mobile,2026-01-14 11:12:45.411536,Bihar
123,281,Padharo Mhare Des,Bhojpuri,502,SmartTV,2026-01-09 12:54:38.626591,Bihar
124,22,Desi Londe,Rajasthani,292,SmartTV,2026-01-21 22:26:26.743331,Rajasthan
125,448,Ghatak,Rajasthani,713,Mobile,2026-01-17 05:43:29.839588,Rajasthan
126,11,Ghatak,Rajasthani,135,SmartTV,2026-01-12 12:52:12.254030,Bihar
127,237,Desi Londe,Bhojpuri,1906,SmartTV,2026-01-18 07:39:57.698699,Bihar
128,33,Nirahua Hindustani,Rajasthani,2874,Mobile,2026-01-12 07:57:48.639251,Haryana
129,84,Bol Radha Bol,Bhojpuri,1393,Mobile,2026-01-21 08:34:40.378747,Rajasthan
130,259,Bol Radha Bol,Rajasthani,1574,SmartTV,2026-01-20 11:43:17.139043,UP
131,493,Bol Radha Bol,Haryanvi,337,Mobile,2026-01-15 10:23:07.985399,Delhi
132,397,Ghatak,Bhojpuri,319,Mobile,2026-01-18 04:37:11.074432,Delhi
133,155,Padharo Mhare Des,Haryanvi,2582,SmartTV,2026-01-15 06:34:28.167739,Rajasthan
134,239,Desi Londe,Bhojpuri,2454,Web,2026-01-11 03:50:57.377512,Bihar
135,135,Bol Radha Bol,Bhojpuri,1831,Mobile,2026-01-09 13:05:47.607723,UP
136,15,Nirahua Hindustani,Haryanvi,2959,Web,2026-01-18 01:33:35.071802,Haryana
137,254,Padharo Mhare Des,Haryanvi,1188,Web,2026-01-11 12:18:25.118469,Delhi
138,461,Desi Londe,Rajasthani,352,Web,2026-01-17 23:12:53.995300,Delhi
139,322,Nirahua Hindustani,Rajasthani,2206,Web,2026-01-16 15:57:07.767609,Delhi
140,351,Padharo Mhare Des,Rajasthani,2848,Mobile,2026-01-11 06:43:22.246834,Delhi
141,277,Ghatak,Bhojpuri,2055,Web,2026-01-10 05:42:13.819214,UP
142,111,Padharo Mhare Des,Bhojpuri,2605,Web,2026-01-08 05:28:19.696740,UP
143,20,Ghatak,Haryanvi,3434,Mobile,2026-01-11 11:11:09.943608,UP
144,370,Bol Radha Bol,Haryanvi,2636,Mobile,2026-01-17 21:43:47.323238,Rajasthan
145,321,Bol Radha Bol,Haryanvi,126,Mobile,2026-01-08 21:38:54.482304,Bihar
146,283,Desi Londe,Haryanvi,3225,Mobile,2026-01-13 11:42:12.532498,UP
147,360,Ghatak,Haryanvi,692,SmartTV,2026-01-14 00:11:39.412286,Haryana
148,120,Desi Londe,Rajasthani,2395,Mobile,2026-01-19 10:00:18.859955,Delhi
149,446,Bol Radha Bol,Rajasthani,144,Mobile,2026-01-14 03:26:47.904969,Haryana
150,425,Nirahua Hindustani,Rajasthani,1926,Mobile,2026-01-19 17:45:22.433970,Delhi
151,343,Nirahua Hindustani,Haryanvi,1175,Mobile,2026-01-08 15:20:51.582953,UP
152,29,Ghatak,Bhojpuri,2739,Mobile,2026-01-12 19:45:01.969873,Bihar
153,4,Bol Radha Bol,Haryanvi,1509,SmartTV,2026-01-21 08:08:15.102597,UP
154,26,Bol Radha Bol,Haryanvi,3271,SmartTV,2026-01-15 19:49:40.390016,Delhi
155,447,Bol Radha Bol,Haryanvi,1756,Web,2026-01-09 15:03:06.025271,Rajasthan
156,49,Desi Londe,Rajasthani,2828,Web,2026-01-09 20:47:35.306275,Haryana
157,47,Nirahua Hindustani,Haryanvi,1748,Web,2026-01-14 00:56:21.975224,Delhi
158,281,Bol Radha Bol,Bhojpuri,770,SmartTV,2026-01-14 11:24:40.250902,Haryana
159,430,Kesariya Balam,Rajasthani,2712,Web,2026-01-15 00:34:02.140020,Delhi
160,336,Bol Radha Bol,Bhojpuri,2032,Web,2026-01-15 07:05:53.560645,Rajasthan
161,360,Kesariya Balam,Bhojpuri,952,Web,2026-01-17 16:34:03.564601,UP
162,437,Kesariya Balam,Bhojpuri,1589,SmartTV,2026-01-19 12:43:21.549447,UP
163,71,Desi Londe,Rajasthani,2806,Web,2026-01-16 06:43:55.395188,Delhi
164,398,Ghatak,Rajasthani,196,Mobile,2026-01-13 13:40:36.350100,Delhi
165,138,Padharo Mhare Des,Haryanvi,1054,Web,2026-01-18 06:06:46.694677,Bihar
166,60,Desi Londe,Bhojpuri,1474,Mobile,2026-01-16 15:05:23.121197,Rajasthan
167,187,Bol Radha Bol,Haryanvi,395,Mobile,2026-01-08 15:28:23.880864,Haryana
168,88,Ghatak,Rajasthani,2497,SmartTV,2026-01-18 12:21:02.173213,UP
169,275,Ghatak,Rajasthani,1410,Web,2026-01-20 07:39:36.133997,UP
170,307,Bol Radha Bol,Bhojpuri,434,SmartTV,2026-01-21 00:28:45.928184,UP
171,343,Nirahua Hindustani,Rajasthani,1696,SmartTV,2026-01-20 02:25:48.385335,Bihar
172,246,Padharo Mhare Des,Rajasthani,2058,Mobile,2026-01-10 15:37:36.753603,Haryana
173,80,Bol Radha Bol,Rajasthani,3134,Web,2026-01-10 18:57:38.416171,Bihar
174,448,Ghatak,Haryanvi,803,Mobile,2026-01-11 08:26:15.698231,Delhi
175,328,Padharo Mhare Des,Bhojpuri,3441,Web,2026-01-08 02:06:15.736145,UP
176,359,Ghatak,Bhojpuri,599,Web,2026-01-18 09:53:27.494207,Rajasthan
177,375,Kesariya Balam,Rajasthani,3411,Web,2026-01-19 17:40:19.963282,Bihar
178,122,Ghatak,Rajasthani,1303,Web,2026-01-21 15:25:26.290700,UP
179,66,Kesariya Balam,Haryanvi,1018,SmartTV,2026-01-19 11:53:22.030579,Rajasthan
180,258,Nirahua Hindustani,Bhojpuri,3496,SmartTV,2026-01-15 12:18:03.922727,Rajasthan
181,322,Ghatak,Bhojpuri,226,Mobile,2026-01-13 17:57:40.840508,Delhi
182,67,Desi Londe,Haryanvi,1140,Web,2026-01-08 19:25:12.154153,UP
183,114,Ghatak,Rajasthani,3047,SmartTV,2026-01-09 10:29:21.435207,UP
184,319,Kesariya Balam,Bhojpuri,3021,Web,2026-01-08 20:34:47.571810,Haryana
185,339,Kesariya Balam,Haryanvi,1032,SmartTV,2026-01-17 06:12:38.586067,Rajasthan
186,270,Bol Radha Bol,Bhojpuri,1759,Mobile,2026-01-09 11:35:20.218493,Rajasthan
187,10,Desi Londe,Rajasthani,1312,Mobile,2026-01-11 17:21:20.959420,Rajasthan
188,154,Nirahua Hindustani,Bhojpuri,3246,Web,2026-01-12 12:19:29.460090,Delhi
189,453,Kesariya Balam,Haryanvi,423,Mobile,2026-01-17 13:07:46.192451,Delhi
190,454,Desi Londe,Haryanvi,2577,Web,2026-01-18 00:08:02.709197,Delhi
191,16,Kesariya Balam,Haryanvi,3600,SmartTV,2026-01-16 16:00:35.629155,Delhi
192,392,Nirahua Hindustani,Rajasthani,1377,Mobile,2026-01-13 02:53:47.408099,Rajasthan
193,66,Nirahua Hindustani,Haryanvi,1931,SmartTV,2026-01-18 18:01:04.216860,UP
194,142,Padharo Mhare Des,Haryanvi,2310,Mobile,2026-01-11 07:50:24.113264,UP
195,466,Bol Radha Bol,Haryanvi,1813,SmartTV,2026-01-09 18:42:37.610356,Haryana
196,28,Nirahua Hindustani,Bhojpuri,3014,Mobile,2026-01-18 15:09:21.342163,Delhi
197,268,Desi Londe,Rajasthani,1283,Mobile,2026-01-12 21:05:14.901181,Haryana
198,91,Bol Radha Bol,Bhojpuri,1938,SmartTV,2026-01-10 06:23:49.458253,Delhi
199,437,Ghatak,Rajasthani,1555,Mobile,2026-01-13 08:40:56.781687,Rajasthan
200,168,Ghatak,Haryanvi,3469,Web,2026-01-21 23:10:09.580402,Delhi
201,339,Nirahua Hindustani,Haryanvi,216,SmartTV,2026-01-19 15:37:21.823907,Bihar
202,119,Kesariya Balam,Bhojpuri,3539,Mobile,2026-01-19 04:30:17.441826,Delhi
203,90,Padharo Mhare Des,Bhojpuri,2136,Web,2026-01-15 00:52:25.813953,Haryana
204,20,Ghatak,Haryanvi,912,SmartTV,2026-01-17 13:01:57.462574,Rajasthan
205,132,Padharo Mhare Des,Bhojpuri,1008,Web,2026-01-09 11:45:55.055314,UP
206,477,Nirahua Hindustani,Rajasthani,1094,Web,2026-01-08 18:29:05.209655,Bihar
207,397,Desi Londe,Haryanvi,1471,Web,2026-01-11 13:57:01.613414,UP
208,336,Desi Londe,Bhojpuri,565,Mobile,2026-01-13 14:57:52.424784,Delhi
209,325,Ghatak,Rajasthani,137,SmartTV,2026-01-11 00:15:02.090728,UP
210,198,Bol Radha Bol,Bhojpuri,2767,Mobile,2026-01-13 15:53:04.473040,Haryana
211,370,Kesariya Balam,Rajasthani,1215,Web,2026-01-21 16:46:59.338368,Delhi
212,500,Bol Radha Bol,Rajasthani,284,SmartTV,2026-01-11 04:02:35.635998,Haryana
213,50,Padharo Mhare Des,Bhojpuri,409,Mobile,2026-01-09 18:54:48.167685,Rajasthan
214,137,Desi Londe,Haryanvi,2989,SmartTV,2026-01-16 18:26:01.692491,Delhi
215,186,Padharo Mhare Des,Bhojpuri,1480,Mobile,2026-01-20 02:55:37.400046,UP
216,406,Bol Radha Bol,Rajasthani,1658,Web,2026-01-18 04:19:32.536570,Bihar
217,209,Kesariya Balam,Haryanvi,2436,Mobile,2026-01-10 11:51:12.359298,Delhi
218,289,Padharo Mhare Des,Bhojpuri,2049,Mobile,2026-01-20 02:19:30.284976,UP
219,484,Padharo Mhare Des,Haryanvi,364,SmartTV,2026-01-15 07:59:42.126842,UP
220,53,Bol Radha Bol,Rajasthani,1387,SmartTV,2026-01-20 02:31:07.700093,Bihar
221,303,Padharo Mhare Des,Haryanvi,3058,Mobile,2026-01-14 01:01:50.840657,Haryana
222,297,Kesariya Balam,Haryanvi,1008,Web,2026-01-15 08:43:55.046253,Bihar
223,87,Nirahua Hindustani,Rajasthani,932,Mobile,2026-01-19 01:14:06.748275,Haryana
224,305,Padharo Mhare Des,Bhojpuri,2934,Mobile,2026-01-20 11:09:28.007218,UP
225,186,Bol Radha Bol,Bhojpuri,554,Mobile,2026-01-14 09:59:38.696233,Delhi
226,17,Kesariya Balam,Rajasthani,1439,Mobile,2026-01-08 14:56:40.691534,UP
227,47,Ghatak,Haryanvi,2509,Mobile,2026-01-09 02:06:09.482540,Delhi
228,170,Kesariya Balam,Haryanvi,2094,Web,2026-01-16 10:35:12.618508,Rajasthan
229,381,Bol Radha Bol,Haryanvi,158,SmartTV,2026-01-16 16:38:34.644129,UP
230,219,Nirahua Hindustani,Rajasthani,2514,Web,2026-01-14 15:00:39.676284,UP
231,445,Ghatak,Bhojpuri,300,Web,2026-01-17 10:25:57.655792,Delhi
232,158,Kesariya Balam,Haryanvi,1223,Mobile,2026-01-13 18:21:09.827385,Rajasthan
233,483,Nirahua Hindustani,Bhojpuri,940,Web,2026-01-15 21:10:03.040390,UP
234,403,Desi Londe,Rajasthani,976,SmartTV,2026-01-17 07:40:31.163181,Delhi
235,281,Kesariya Balam,Bhojpuri,1502,SmartTV,2026-01-17 03:16:48.384140,Rajasthan
236,344,Bol Radha Bol,Rajasthani,2965,Web,2026-01-17 16:58:23.366971,Haryana
237,431,Desi Londe,Bhojpuri,3253,Web,2026-01-19 17:03:12.241864,Delhi
238,363,Nirahua Hindustani,Rajasthani,2056,SmartTV,2026-01-14 07:47:13.636793,UP
239,24,Kesariya Balam,Bhojpuri,1588,Mobile,2026-01-09 20:46:30.435257,Rajasthan
240,170,Ghatak,Haryanvi,1469,Mobile,2026-01-18 06:06:42.102254,UP
241,25,Nirahua Hindustani,Rajasthani,1884,SmartTV,2026-01-15 05:03:34.284127,UP
242,138,Kesariya Balam,Rajasthani,2796,Web,2026-01-17 08:36:23.097276,Rajasthan
243,358,Kesariya Balam,Rajasthani,1095,Web,2026-01-11 23:55:20.713877,UP
244,232,Bol Radha Bol,Rajasthani,715,Mobile,2026-01-14 21:19:30.000124,Delhi
245,133,Padharo Mhare Des,Bhojpuri,1688,Mobile,2026-01-12 19:29:24.050769,Haryana
246,487,Padharo Mhare Des,Haryanvi,2548,Mobile,2026-01-19 02:13:22.410996,Delhi
247,50,Padharo Mhare Des,Haryanvi,2034,Web,2026-01-13 05:41:32.694208,Delhi
248,112,Bol Radha Bol,Bhojpuri,2162,SmartTV,2026-01-11 02:14:43.168590,Rajasthan
249,304,Kesariya Balam,Haryanvi,1485,Mobile,2026-01-19 11:31:36.951999,Bihar
250,153,Bol Radha Bol,Haryanvi,848,SmartTV,2026-01-09 10:41:11.362563,UP
251,19,Padharo Mhare Des,Bhojpuri,1298,Mobile,2026-01-21 20:45:37.485951,Bihar
252,221,Nirahua Hindustani,Haryanvi,3141,SmartTV,2026-01-13 11:41:22.573850,Bihar
253,167,Ghatak,Bhojpuri,3159,Mobile,2026-01-08 01:42:16.456282,Delhi
254,368,Desi Londe,Bhojpuri,1647,SmartTV,2026-01-09 09:31:52.013885,Haryana
255,14,Desi Londe,Haryanvi,90,SmartTV,2026-01-10 12:14:49.474603,Bihar
256,155,Bol Radha Bol,Bhojpuri,836,Mobile,2026-01-10 16:09:46.947880,Bihar
257,178,Kesariya Balam,Rajasthani,1345,Web,2026-01-08 02:27:25.685503,Haryana
258,259,Ghatak,Rajasthani,2170,Mobile,2026-01-11 19:11:23.622248,Rajasthan
259,480,Padharo Mhare Des,Haryanvi,1283,SmartTV,2026-01-13 02:00:49.937264,Bihar
260,336,Ghatak,Bhojpuri,2484,Web,2026-01-10 12:00:52.156523,Delhi
261,41,Bol Radha Bol,Haryanvi,1303,Web,2026-01-10 03:49:56.072433,UP
262,166,Bol Radha Bol,Haryanvi,1966,Mobile,2026-01-12 20:49:05.224416,UP
263,240,Desi Londe,Bhojpuri,55,Web,2026-01-21 14:53:03.847953,Rajasthan
264,55,Kesariya Balam,Bhojpuri,527,Mobile,2026-01-13 01:49:17.836575,Haryana
265,426,Desi Londe,Haryanvi,2272,SmartTV,2026-01-08 19:34:32.976449,Bihar
266,245,Bol Radha Bol,Haryanvi,1626,SmartTV,2026-01-11 02:02:49.093261,Delhi
267,436,Kesariya Balam,Haryanvi,2419,SmartTV,2026-01-13 04:24:17.971551,Haryana
268,256,Bol Radha Bol,Haryanvi,826,Mobile,2026-01-14 21:10:54.047323,Rajasthan
269,204,Padharo Mhare Des,Rajasthani,2765,SmartTV,2026-01-09 02:12:59.703713,UP
270,387,Desi Londe,Haryanvi,2207,Web,2026-01-13 17:22:59.086817,Bihar
271,106,Ghatak,Rajasthani,1990,Mobile,2026-01-17 00:57:39.271222,UP
272,293,Padharo Mhare Des,Bhojpuri,1036,Web,2026-01-10 20:49:57.778253,Haryana
273,490,Desi Londe,Haryanvi,749,Web,2026-01-15 16:34:20.056574,Haryana
274,255,Nirahua Hindustani,Bhojpuri,331,Web,2026-01-17 20:28:57.086756,Rajasthan
275,462,Kesariya Balam,Rajasthani,823,Mobile,2026-01-12 06:34:22.203513,Delhi
276,213,Padharo Mhare Des,Rajasthani,3255,Web,2026-01-09 07:11:24.145473,Haryana
277,60,Nirahua Hindustani,Bhojpuri,709,Mobile,2026-01-16 03:14:47.450969,Haryana
278,294,Ghatak,Haryanvi,814,Web,2026-01-08 19:10:21.116033,Haryana
279,389,Padharo Mhare Des,Haryanvi,461,Mobile,2026-01-14 05:01:51.979218,Bihar
280,390,Padharo Mhare Des,Haryanvi,1773,Web,2026-01-17 23:03:56.944980,Delhi
281,357,Nirahua Hindustani,Rajasthani,2735,Web,2026-01-20 11:12:38.196951,UP
282,140,Kesariya Balam,Rajasthani,10,Mobile,2026-01-11 15:10:01.913131,Haryana
283,323,Bol Radha Bol,Bhojpuri,2714,Mobile,2026-01-08 19:44:19.707043,Haryana
284,475,Kesariya Balam,Haryanvi,1689,SmartTV,2026-01-21 18:17:17.628421,Haryana
285,32,Bol Radha Bol,Haryanvi,1594,Web,2026-01-16 06:24:24.443254,Haryana
